id,timedate,trend,sentiment
0,2022-01-21 22:54:34,-0.05665130254138118,0.071994
1,2022-01-22 00:54:36,0.017438495044054925,0.132154
2,2022-01-22 02:54:37,0.00812071010155635,0.13033299999999998
3,2022-01-22 04:54:38,-0.008778295114173829,0.122122
4,2022-01-22 06:54:39,-0.018675930037343913,0.16474899999999995
5,2022-01-22 08:54:40,-0.008058020632598861,0.152084
6,2022-01-22 10:54:41,-0.028954016520654546,0.12732999999999997
7,2022-01-22 12:54:42,-0.00582520502986994,0.11154900000000001
8,2022-01-22 14:54:42,-0.007571358443250409,0.03387099999999999
9,2022-01-22 16:54:43,-0.005760144966878822,0.16627999999999996
10,2022-01-22 18:54:44,-0.013612364770836716,0.13825600000000005
11,2022-01-22 20:54:45,0.002176288419093675,0.08205400000000002
12,2022-01-22 22:54:46,0.004682066802359941,0.08495899999999999
13,2022-01-23 00:54:46,0.00701653601440122,0.158752
14,2022-01-23 02:54:47,-0.009859917282680208,0.1655660000000001
15,2022-01-23 04:54:48,0.00862609577679918,0.08830899999999998
16,2022-01-23 06:54:49,-0.00169963473042134,0.191571
17,2022-01-23 08:54:50,0.01224606753059665,0.173929
18,2022-01-23 10:54:51,0.004662441280849805,0.11349999999999996
19,2022-01-23 12:54:51,-0.002226354597032465,0.20526499999999998
20,2022-01-23 14:54:52,-0.019746298859309452,0.128382
21,2022-01-23 16:54:53,0.004181776448757946,0.07985900000000003
22,2022-01-23 18:54:54,-0.010245600390790921,0.02852400000000001
23,2022-01-23 20:54:55,0.009547765946297915,0.11910200000000001
24,2022-01-23 22:54:56,0.005609618433453312,0.066198
25,2022-01-24 00:54:57,0.011647839645235525,0.09576299999999999
26,2022-01-24 02:54:58,-0.01279726005501447,0.063805
27,2022-01-24 04:54:58,-0.003731892219703936,0.10888199999999999
28,2022-01-24 06:54:59,0.007674227274308221,0.079901
29,2022-01-24 08:55:00,-0.0032464967713130566,0.130883
30,2022-01-24 10:55:01,-0.03952193910821311,0.15154299999999998
31,2022-01-24 12:55:02,-0.00434954621519712,0.17272400000000004
32,2022-01-24 14:55:03,0.007757175260802773,0.17234499999999994
33,2022-01-24 16:55:04,0.0039918751770706695,0.18530699999999992
34,2022-01-24 18:55:04,0.056541397836071816,0.15380200000000005
